"court_name","local_authority_names"
"Uxbridge County Court","Hillingdon Borough Council"
"Wakefield Civil Justice Centre","Leeds City Council,Bradford City Council,Calderdale Borough Council,Wakefield City Council,Kirklees Borough Council"
"Walsall County Court","Sandwell Borough Council,Dudley Borough Council,Wolverhampton City Council,Walsall Borough Council,Telford and Wrekin Council,Shropshire Council"
"Wandsworth County Court","Wandsworth Borough Council"
"Warrington County Court","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Watford County Court","Hertfordshire County Council"
"Welshpool and Newtown County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"West Cumbria Court House","Cumbria County Council"
"Weston-Super-Mare County Court","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Weymouth and Dorchester Combined Court Centre","Dorset County Council,Poole Borough Council,Bournemouth Borough Council"
"Wigan County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Willesden County Court","Brent Borough Council"
"Winchester Combined Court Centre","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Wolverhampton Combined Court Centre","Sandwell Borough Council,Dudley Borough Council,Wolverhampton City Council,Walsall Borough Council,Telford and Wrekin Council,Shropshire Council"
"Worcester Combined Court","Herefordshire Council,Worcestershire County Council"
"Worthing County Court","East Sussex County Council,West Sussex County Council,Brighton and Hove City Council"
"Wrexham Magistrates' Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Yeovil County Court","Somerset County Council"
"York County Court","North Yorkshire County Council,City of York Council"
