"court_opening_id","court_id","court_opening_desc","court_opening_type_id"
"776","272","9.00 am","1"
"774","272","4.00 pm","2"
"777","272","9.30 am","3"
"775","272","4.00 pm","4"
"778","273","9.00 am","1"
"779","273","Open until close of Court business.","2"
"783","274","9.00 am","1"
"782","274","4.30 pm","2"
"2747","274","9.00 am to 5.00 pm","13"
"786","275","9.00 am","1"
"785","275","4.30 pm","2"
"787","275","Enquiries Only - 9.00 am","3"
"784","275","4.00 pm","4"
"791","276","9.00 am","1"
"789","276","4.00 pm","2"
"2800","276","9.00 am to 5.00 pm","13"
"794","277","8.30 am","1"
"792","277","4.30 pm","2"
"795","277","8.30 am","3"
"793","277","4.30 pm","4"
"2616","281","9.00 am","1"
"2617","281","4.30 pm","2"
"2618","281","9.00 am","3"
"2619","281","4.00 pm","4"
"801","282","8.30 am","1"
"800","282","5.00 pm","2"
"2781","282","9.00 am to 5.00 pm","13"
"803","284","9.00 am","1"
"802","284","5.00 pm","2"
"807","285","9.00 am","1"
"805","285","4.00 pm","2"
"804","285","10.00 am","3"
"806","285","4.00 pm","4"
"2763","285","9.00 am to 5.00 pm","13"
"2764","285","9.00 am to 5.00 pm","13"
"2620","286","9.15 am","1"
"2621","286","4.00 pm","2"
"811","287","9.00 am","1"
"810","287","5.00 pm","2"
"2766","287","9.00 am to 5.00 pm","13"
"814","288","9.00 am","1"
"812","288","4.30 pm","2"
"815","288","9.00 am","3"
"813","288","4.30 pm","4"
"818","289","9.00 am","1"
"816","289","4.00 pm","2"
"819","289","9.30 am","3"
"817","289","4.00 pm","4"
"823","291","9.30 am","1"
"822","291","4.30 pm","2"
"820","291","10.00 am","3"
"821","291","4.00 pm","4"
"2765","291","9.00 am to 5.00 pm","13"
"825","292","Open for court hearings only.","1"
"830","295","9.15 am","1"
"828","295","4.30 pm","2"
"831","295","9.15 am","3"
"829","295","4.30 pm","4"
"834","296","9.00 am","1"
"833","296","4.30 pm","2"
"2749","296","9.00 am to 5.00 pm","13"
"836","297","Currently open during sittings only.","1"
"837","300","8.00 am","1"
"838","300","6.00 pm","2"
"841","301","9.00 am","1"
"839","301","5.00 pm","2"
"842","301","9.00 am","3"
"840","301","5.00 pm","4"
"853","305","9.00 am","1"
"851","305","4.00 pm","2"
"850","305","10.00 am","3"
"852","305","2.00 pm","4"
"2733","305","9.00 am to 5.00 pm","13"
"860","308","8.30 am","1"
"859","308","5.30 pm","2"
"861","308","9.00 am","3"
"858","308","5.00 pm","4"
"864","309","9.00 am","1"
"862","309","5.00 pm","2"
"865","309","9.00 am","3"
"863","309","5.00 pm","4"
"869","310","8.30 am","1"
"867","310","4.00 pm","2"
"2767","310","9.00 am to 5.00 pm","13"
"872","311","8.00 am","1"
"870","311","5.00 pm","2"
"873","311","9.00 am","3"
"871","311","5.00 pm","4"
"876","312","9.30 am","1"
"874","312","4.00 pm","2"
"877","312","9.30 am","3"
"875","312","4.00 pm","4"
"880","313","9.00 am","1"
"878","313","4.00 pm","2"
"881","313","9.00 am","3"
"879","313","4.00 pm","4"
"882","314","9.30 am (When in session)","1"
"884","315","7.00 am","1"
"885","315","7.00 pm","2"
"886","315","9.00 am","3"
"883","315","5.00 pm","4"
"1979","316","8.00 am","1"
"1980","316","5.00 pm","2"
"1981","316","10.00 am","3"
"1982","316","4.00 pm","4"
"1975","317","9.00 am","1"
"1976","317","5.00 pm","2"
"1977","317","9.30 am","3"
"1978","317","4.00 pm","4"
"890","318","9.00 am","1"
"888","318","4.00 pm","2"
"887","318","Wednesday and Friday only","3"
"894","319","9.00 am","1"
"893","319","5.00 pm","2"
"891","319","10.00 am","3"
"892","319","4.00 pm","4"
"895","320","10.00 am (9.30 am on hearing days)","1"
"897","320","4.00 pm","2"
"896","320","10.00 am (Closed 1.00pm - 2.00pm except on Tuesdays and Thursdays).","3"
"898","320","4.00 pm","4"
"900","321","9.00 am and 1.45 pm","1"
"899","321","1.00 pm / close of business","2"
"904","322","9.00 am","1"
"903","322","5.00 pm","2"
"901","322","10.00 am","3"
"902","322","4.00 pm","4"
"906","323","9.00 am","1"
"905","323","5.00 pm","2"
"907","324","10.00 am","1"
"909","324","4.00 pm","2"
"2768","324","9.00 am to 5.00 pm","13"
"2448","326","9.00 am","1"
"915","326","5.00 pm","2"
"2716","326","9.00 am","3"
"2717","326","4.00 pm","4"
"921","327","9.00 am","1"
"919","327","5.00 pm","2"
"924","328","9.00 am","1"
"923","328","5.00 pm","2"
"925","328","9.00 am","3"
"922","328","4.00 pm","4"
"2736","329","9.00 am to 5.00 pm","13"
"927","330","9.00 am","1"
"926","330","5.00 pm","2"
"929","331","9.00 am","1"
"931","331","Open until close of court business.","2"
"930","331","9.00 am","3"
"928","331","4.00 pm","4"
"934","332","9.00 am","1"
"933","332","5.00 pm","2"
"935","332","9.00 am","3"
"932","332","4.00 pm","4"
"937","333","8.30 am","1"
"936","333","5.00 pm","2"
"940","334","9.00 am","1"
"938","334","4.00 pm","2"
"2737","334","9.00 am to 5.00 pm","13"
"942","335","10.00 am","1"
"944","335","4.00 pm","2"
"948","337","9.00 am","1"
"2463","337","4.00 pm","2"
"949","337","9.00 am","3"
"946","337","4.00 pm","4"
"955","340","8.00 am","1"
"957","340","6.00 pm","2"
