"court_work_id","court_work_type_id","court_id"
"2849","7","686"
"2850","119","686"
"2851","42","686"
"2854","149","738"
"2855","150","739"
"2856","6","492"
"2857","18","163"
"2869","119","740"
"2870","58","740"
"3866","102","161"
"3867","34","740"
"3868","42","740"
"3878","34","624"
"3879","119","624"
"3880","42","624"
"3881","18","624"
"3888","42","631"
"3889","18","631"
"3890","5","483"
"3891","6","483"
"3893","18","483"
"3894","34","483"
"3895","39","483"
"3896","42","483"
"3897","14","483"
"3898","115","483"
"3899","71","723"
"3901","18","41"
"3902","42","41"
"3904","151","744"
"3905","151","695"
"3906","151","745"
"3907","39","691"
"3909","18","552"
"3910","38","552"
"3911","131","55"
"3912","131","724"
"3913","131","131"
"3914","131","156"
"3915","131","227"
"3916","131","341"
"3918","131","423"
"3919","131","710"
"3921","18","529"
"3922","38","529"
"3923","39","529"
"3924","42","529"
"3925","42","606"
"3928","12","1"
"3929","12","5"
"3930","12","21"
"3931","12","25"
"3932","12","32"
"3933","12","34"
"3934","12","36"
"3935","12","43"
"3937","12","53"
"3938","12","54"
"3939","12","62"
"3940","12","65"
"3942","12","73"
"3943","12","75"
"3944","12","78"
"3945","12","84"
"3946","12","96"
"3948","12","107"
"3949","12","109"
"3950","12","113"
"3951","12","118"
"3952","12","129"
"3953","12","131"
"3954","12","135"
"3955","12","138"
"3958","12","156"
"3959","12","160"
"3960","12","172"
"3961","12","180"
"3962","12","183"
"3963","12","186"
"3964","12","190"
"3965","12","198"
"3966","12","202"
"3967","12","206"
"3968","12","212"
"3970","12","219"
"3971","12","227"
"3972","12","242"
"3973","12","252"
"3974","12","256"
"3975","12","261"
"3976","12","267"
"3977","12","274"
"3978","12","276"
"3979","12","282"
"3980","12","285"
"3981","12","300"
"3982","12","310"
"3983","12","318"
"3984","12","322"
"3985","12","324"
"3986","12","327"
"3987","12","329"
"3988","12","335"
"3989","12","341"
"3990","12","344"
"3991","12","352"
"3993","12","374"
"3994","12","377"
"3995","12","380"
"3997","12","395"
"3998","12","400"
"3999","12","403"
"4000","12","408"
"4001","12","415"
"4003","12","423"
"4004","12","426"
"4005","12","427"
"4006","12","441"
"4007","12","445"
"4008","12","448"
"4009","12","455"
"4010","12","460"
"4011","12","468"
"4012","12","473"
"4013","12","478"
"4014","12","483"
"4015","12","486"
"4016","12","492"
"4017","12","503"
"4018","12","506"
"4019","12","513"
"4021","12","517"
"4022","12","519"
"4023","12","524"
"4024","12","529"
"4025","12","538"
"4026","12","550"
"4027","12","552"
"4028","12","559"
"4029","12","564"
"4031","12","575"
"4032","12","577"
"4033","12","583"
"4034","12","588"
"4035","12","591"
"4037","12","597"
"4038","12","608"
"4039","12","616"
"4040","12","619"
"4041","12","626"
"4042","12","629"
"4043","12","635"
"4044","12","637"
"4045","12","643"
"4046","12","653"
"4047","12","656"
"4049","12","664"
"4050","12","671"
"4051","12","678"
"4053","12","689"
"4054","12","691"
"4056","34","653"
"4057","12","420"
"4058","34","654"
"4059","119","654"
"4060","149","654"
"4061","14","180"
"4062","34","180"
"4063","6","478"
"4064","14","478"
"4065","42","478"
"4066","39","478"
"4067","116","478"
"4070","34","208"
"4074","18","608"
"4075","42","608"
"4076","38","608"
"4077","34","575"
"4079","12","125"
"4080","12","727"
"4081","12","91"
"4082","12","362"
"4083","136","584"
"4085","18","473"
"4086","42","473"
"4087","39","473"
"4088","149","473"
"4089","150","473"
"4090","34","733"
"4091","34","473"
"4092","12","111"
"4093","154","341"
"4096","38","377"
"4097","119","468"
"4101","39","65"
"4102","38","65"
"4103","34","486"
"4104","119","746"
"4105","155","746"
"4106","157","746"
"4107","150","747"
"4108","39","748"
"4109","42","748"
"4111","12","748"
"4112","6","748"
"4116","34","749"
"4118","119","749"
"4201","18","748"
"4202","5","750"
"4203","6","750"
"4204","101","750"
"4205","12","750"
"4206","102","750"
"4207","15","750"
"4208","18","750"
"4209","39","750"
"4210","42","750"
"4211","61","750"
"4212","74","750"
"4213","81","750"
"4214","82","750"
"4216","71","751"
"4223","34","752"
"4224","34","349"
"4225","102","602"
"4227","38","750"
"4228","38","135"
"4230","6","135"
"4231","102","135"
"4232","18","135"
"4233","39","135"
"4234","42","135"
"4235","82","135"
"4236","149","135"
"4237","34","135"
"4238","159","750"
"4239","12","735"
"4240","131","750"
"4241","18","521"
"4242","34","521"
"4244","13","521"
"4245","81","706"
"4248","136","167"
"4249","119","167"
"4250","18","351"
"4251","119","351"
"4252","136","351"
"4254","18","457"
"4255","119","457"
"4256","136","457"
"4258","34","755"
"4259","119","755"
"4261","34","756"
"4265","119","756"
"4266","12","411"
"4269","34","425"
"4271","119","425"
"4272","136","425"
"4273","18","727"
"4274","18","425"
"4275","161","757"
"4280","152","54"
"4281","162","230"
"4283","18","427"
"4284","34","427"
"4285","39","427"
"4286","115","427"
"4287","42","427"
"4288","18","754"
"4296","164","736"
"4297","167","737"
"4298","166","737"
"4299","161","152"
"4304","18","759"
"4305","39","759"
"4306","42","759"
"4307","12","759"
"4308","18","496"
"4309","71","158"
"4311","34","281"
"4312","119","281"
"4315","119","264"
"4316","160","329"
"4317","12","152"
"4318","18","152"
"4319","160","170"
"4322","39","1429"
"4323","160","1429"
"4324","12","1429"
"4325","18","402"
"4326","34","402"
"4327","18","227"
"4328","160","227"
"4329","34","227"
"4331","42","285"
"4332","6","408"
"4333","170","408"
"4334","171","1430"
"4335","18","564"
"4336","34","566"
"4337","38","5"
"4342","18","638"
"4343","160","638"
"4344","14","638"
"4345","9","638"
"4346","159","638"
"4347","18","324"
"4348","39","324"
"4349","160","324"
"4350","177","131"
"4351","175","131"
"4352","158","131"
"4354","159","186"
"4355","18","1431"
"4356","38","1431"
"4357","12","1431"
"4358","160","1431"
"4359","20","475"
"4360","34","1432"
"4361","18","1432"
"4362","12","1432"
"4363","176","1432"
"4364","38","1432"
"4365","175","750"
"4366","175","341"
"4368","175","54"
"4369","149","1433"
"4370","157","1432"
"4372","39","606"
"4374","182","395"
"4376","18","118"
"4379","18","1429"
"4386","39","267"
"4387","38","267"
"4388","34","1437"
"4389","34","460"
"4390","38","460"
"4392","18","129"
"4393","34","129"
"4396","159","84"
"4397","39","1431"
"4398","39","285"
"4399","6","374"
"4400","9","374"
"4401","14","374"
"4402","159","374"
"4403","14","408"
"4404","159","408"
"4405","9","460"
"4406","14","460"
"4407","159","460"
"4408","9","492"
"4409","14","492"
"4410","159","492"
"4411","39","538"
"4412","136","679"
"4423","119","729"
"4424","38","138"
"4425","38","276"
"4426","177","276"
"4427","18","415"
"4428","177","415"
"4429","136","112"
"4430","12","67"
"4431","18","67"
"4432","38","67"
"4433","39","67"
"4434","177","118"
"4437","6","362"
"4438","38","362"
"4441","61","411"
"4442","9","426"
"4443","125","426"
"4444","82","426"
"4445","177","426"
"4446","9","503"
"4447","14","503"
"4448","125","503"
"4449","82","503"
"4450","177","503"
"4451","9","588"
"4452","14","588"
"4453","125","588"
"4454","6","643"
"4455","38","643"
"4456","177","643"
"4460","39","341"
"4461","119","733"
"4462","119","734"
"4463","119","730"
"4464","119","139"
"4465","119","721"
"4466","119","363"
"4468","119","488"
"4471","119","360"
"4473","119","413"
"4474","119","120"
"4475","119","205"
"4477","119","292"
"4478","150","340"
"4479","119","340"
"4480","42","361"
"4481","39","1439"
"4482","42","1439"
"4483","6","1439"
"4484","74","1439"
"4485","15","1439"
"4486","5","1439"
"4487","61","1439"
"4488","18","1439"
"4489","107","1439"
"4490","116","1439"
"4491","131","1439"
"4492","12","1439"
"4493","82","1439"
"4494","169","1439"
"4495","18","166"
"4496","39","166"
"4497","18","247"
"4508","7","644"
"4509","119","644"
"4510","34","1441"
"4511","164","1444"
"4512","188","1443"
"4515","34","107"
"4517","18","590"
"4518","34","590"
"4522","18","1441"
"4523","160","1441"
"4524","18","1445"
"4525","34","1445"
"4526","12","1445"
"4527","39","650"
"4529","34","1446"
"4531","119","86"
"4532","119","89"
"4533","34","105"
"4534","119","115"
"4536","34","123"
"4537","136","124"
"4539","34","169"
"4540","34","295"
"4541","34","171"
"4542","34","173"
"4543","119","173"
"4544","159","178"
"4545","34","217"
"4547","34","224"
"4548","119","224"
"4550","34","254"
"4551","136","268"
"4552","34","760"
"4553","119","760"
"4554","34","277"
"4555","119","277"
"4557","34","286"
"4558","119","286"
"4559","159","286"
"4560","159","284"
"4561","34","290"
"4562","119","290"
"4563","136","301"
"4564","119","301"
"4565","159","749"
"4566","149","749"
"4567","149","313"
"4568","119","321"
"4569","159","321"
"4577","119","342"
"4578","179","342"
"4580","189","364"
"4581","164","755"
"4582","119","370"
"4584","190","115"
"4585","190","127"
"4587","190","370"
"4590","34","383"
"4591","18","383"
"4592","136","383"
"4593","34","389"
"4594","119","389"
"4595","159","389"
"4596","18","389"
"4597","136","389"
"4598","179","389"
"4599","34","398"
"4600","119","400"
"4601","159","400"
"4602","34","409"
"4603","119","409"
"4604","159","409"
"4605","18","409"
"4606","136","409"
"4607","34","416"
"4608","18","416"
"4609","159","416"
"4610","34","418"
"4611","119","418"
"4612","159","418"
"4613","18","418"
"4614","136","418"
"4615","179","418"
"4616","34","421"
"4617","119","421"
"4618","159","421"
"4619","34","432"
"4620","18","432"
"4621","34","440"
"4622","159","440"
"4623","136","440"
"4624","179","440"
"4625","119","443"
"4626","159","443"
"4627","119","446"
"4628","159","446"
"4629","136","446"
"4630","18","446"
"4631","18","443"
"4632","34","450"
"4633","119","450"
"4634","159","450"
"4635","136","450"
"4636","163","450"
"4637","34","456"
"4638","119","456"
"4639","159","456"
"4640","18","456"
"4641","136","456"
"4644","34","469"
"4645","119","469"
"4646","159","469"
"4647","18","469"
"4649","159","476"
"4650","179","476"
"4651","34","482"
"4652","119","482"
"4653","159","482"
"4654","119","485"
"4655","159","485"
"4656","34","494"
"4657","119","494"
"4658","159","494"
"4659","34","495"
"4660","119","495"
"4662","119","497"
"4669","34","504"
"4670","159","693"
"4671","179","693"
"4672","136","693"
"4673","34","546"
"4674","119","546"
"4675","159","546"
"4676","136","546"
"4677","190","546"
"4678","163","546"
"4679","34","434"
"4680","119","434"
"4681","159","434"
"4682","18","434"
"4683","34","681"
"4684","119","681"
"4685","159","681"
"4686","18","681"
"4687","179","681"
"4688","136","681"
"4689","163","681"
"4690","34","549"
"4691","119","549"
"4692","159","549"
"4693","136","549"
"4694","190","549"
"4695","34","672"
"4696","119","672"
"4697","159","672"
"4698","18","672"
"4704","34","662"
"4705","119","662"
"4706","159","662"
"4707","159","659"
"4708","136","659"
"4709","159","651"
"4710","18","651"
"4711","149","651"
"4712","136","651"
"4713","177","651"
"4714","34","648"
"4716","159","641"
"4717","18","641"
"4718","34","639"
"4719","119","639"
"4720","159","639"
"4721","136","639"
"4722","34","634"
"4723","119","634"
"4724","159","634"
"4725","18","634"
"4726","34","630"
"4727","119","630"
"4728","159","630"
"4729","159","627"
"4730","179","627"
"4731","34","623"
"4732","119","623"
"4733","159","623"
"4737","119","618"
"4738","159","618"
"4739","136","618"
"4740","34","612"
"4742","34","609"
"4743","119","609"
"4749","34","605"
"4750","159","600"
"4751","159","599"
"4752","13","599"
"4754","159","592"
"4755","18","592"
"4756","136","592"
"4757","119","590"
"4758","159","590"
"4762","159","585"
"4763","163","585"
"4764","34","586"
"4765","119","586"
"4766","159","586"
"4767","18","586"
"4768","136","586"
"4769","179","584"
"4770","159","584"
"4771","34","581"
"4772","119","581"
"4773","34","578"
"4774","119","578"
"4775","159","578"
"4776","18","578"
"4777","163","578"
"4778","34","573"
"4779","119","573"
"4780","34","572"
"4781","119","572"
"4782","18","572"
"4783","136","572"
"4784","34","570"
"4785","119","570"
"4786","159","568"
"4787","34","565"
"4788","119","565"
"4789","159","565"
"4790","18","565"
"4791","136","565"
"4792","34","563"
"4793","119","563"
"4794","159","563"
"4795","34","561"
"4796","119","561"
"4797","159","561"
"4798","34","558"
"4799","119","558"
"4800","159","558"
"4801","136","558"
"4802","34","556"
"4803","119","556"
"4804","34","554"
"4805","119","554"
"4806","159","554"
"4807","164","554"
"4808","159","551"
"4809","18","551"
"4810","179","551"
"4811","136","551"
"4812","34","548"
"4813","34","547"
"4814","119","547"
"4815","159","547"
"4816","159","351"
"4817","34","542"
"4818","119","542"
"4819","159","542"
"4820","179","542"
"4821","136","542"
"4822","159","540"
"4823","18","540"
"4824","163","540"
"4825","34","218"
"4826","159","218"
"4827","159","536"
"4828","179","536"
"4829","136","536"
"4830","34","534"
"4831","119","534"
"4832","159","534"
"4833","18","534"
"4834","119","532"
"4835","159","532"
"4836","119","531"
"4837","159","531"
"4838","34","525"
"4839","119","525"
"4840","159","525"
"4841","119","523"
"4842","159","523"
"4843","159","522"
"4844","179","522"
"4845","136","522"
"4846","159","521"
"4847","159","520"
"4848","13","520"
"4849","136","520"
"4850","34","518"
"4851","119","518"
"4852","159","518"
"4853","136","518"
"4854","119","1432"
"4855","119","514"
"4856","159","514"
"4857","18","514"
"4858","136","514"
"4859","34","613"
"4860","119","613"
"4861","159","613"
"4862","18","613"
"4863","136","613"
"4864","34","263"
"4865","119","508"
"4866","159","508"
"4867","179","508"
"4868","18","508"
"4869","136","508"
"4870","34","505"
"4871","119","505"
"4872","159","505"
"4873","18","505"
"4874","136","505"
"4875","159","504"
"4876","179","504"
"4877","159","499"
"4878","159","498"
"4879","159","497"
"4881","119","487"
